Key,Type,Desc,Chinese,English [en-US],Chinese (Taiwan),Japanese,Korean
6014001,Text,,听说在地下深处有一位统帅着怪物的黑骑士,I heard that deep underground there is a black knight who is commanding monsters,歡迎光臨 美麗的顧客,ようこそ 美しい顧客,????? ???? ???
6015,Text,,赭尔,"Umber,",赭爾,赭爾,??? ?
6015001,Text,,需要帮忙吗,Do you need help,快走開 賊眉鼠眼的傢伙,離れて あなたは野郎,???? ? ???
6016,Text,,亨克,Henk zaaiman,亨克,ゲンク,??
6016001,Text,,是装备又坏了吗快来让我看看,Is the equipment broken again come and let me see,是裝備又壞了嗎 快來讓我看看,機器がまた壊れたので、来て見させてください,??? ? ???? ?? ??
6017,Text,,亨利,Henry,亨利,ヘンリー,??
6017001,Text,,我们正面临危机,we are facing a crisis,我們正面臨危機,私たちは危機に直面しています,??? ??? ??? ??
6018,Text,,瑟兰督伊,Mr Du yi,瑟蘭督伊,スルランドゥイ,???????
6018001,Text,,有新奇的事情吗,Is there something new?,有新奇的事情嗎,何か新しいものはありますか？,??? ?? ?????
6019,Text,,莱戈拉斯,legolas,萊戈拉斯,レゴラス,????
6019001,Text,,有什么新的进展吗,Is there any new progress?,有什麼新的進展嗎,新しい開発,?? ??? ??
6020,Text,,凯兰崔尔,galadriel,凱蘭崔爾,ケランチェイル,?? ????
6020001,Text,,今天也是充满希望的一天,Today is also a day full of hope,今天也是充滿希望的一天,今日も希望に満ちた日です,??? ??? ??? ?
6021,Text,,凯勒鹏,celeborn,凱勒鵬,ケラポン,????
6021001,Text,,与魔法相关的一切都在我这,Everything about magic is here,與魔法相關的一切都在我這,魔法に関連するものはすべて私と一緒です,??? ??? ?? ?? ?? ?????.
6022,Text,,丹持,Dan is,丹持,ダンに,??
6022001,Text,,如果需要什么请跟我说,Please tell me if you need anything,如果需要什麼請跟我說,何か必要な場合は教えてください,??? ?? ??? ?????
6023,Text,,富格,"Rich,",富格,富格,?? ? ?
6023001,Text,,我需要你的力量,i need your strength,我需要你的力量,私はあなたの力が必要です,?? ??? ?? ?????
6024,Text,,赭尔,"Umber,",赭爾,赭爾,??? ?
6024001,Text,,你来这干嘛,why are you here,你來這幹嘛,なぜあなたはここにいるのですか,? ????
6025,Text,,亨克,Henk zaaiman,亨克,ゲンク,??
6025001,Text,,时刻记着随着携带武器,Always remember to carry weapons with you,時刻記著隨著攜帶武器,常に武器を携帯することを忘れないでください,?? ??? ???? ?? ?? ????
61001,Text,,村落附近的丛林狼最近有些不听话，需要有人帮忙宰杀几只让他们安分安分,The coyotes around the village have been acting out lately and need help killing a few to keep them in peace,村落附近的叢林狼最近有些不聽話，需要有人幫忙宰殺幾只讓他們安分安分,"村の近くのジャングルのオオカミは最近少し言うことをきかないので,誰かが何匹か殺して彼らを安心させる必要がある",?? ??? ???? ??? ?? ?? ??? ??? ??? ?? ? ??? ???? ??? ????
61002,Text,,去找汉斯使用十个铜矿石来兑换一个盲盒吧,Go to Hans and trade ten copper ores for a blind box,去找漢斯使用十個銅礦石來兌換一個盲盒吧,ハンスがブラインドボックスと交換するために10個の銅鉱石を使いましょう,???? ?? ??? ? ? ??? ???? ?? ??? ???? ??
61003,Text,,村落附近的变异丛林狼最近总是毁坏庄稼，去给他们点颜色瞧瞧,The mutated coyotes around the village have been destroying crops lately. Go show them,村落附近的變異叢林狼最近總是毀壞莊稼，去給他們點顏色瞧瞧,"村の近くの突然変異したジャングルのオオカミは最近しょっちゅう作物を荒らげているので,彼らの世話をしに行く","?? ??? ?? ???? ??? ?? ???? ?????, ?? ???? ??? ?? (?)??"
61004,Text,,可恶的大黑熊！！！！,Hateful big black bear ！！！！,可惡的大黑熊！！！！,くそツキノワグマ！！！！,????? ? ??!!!!
61005,Text,,去穴居人的洞穴并击杀洞穴深处的精英怪,Go to the caveman's cave and kill the elite monsters in the depths of the cave,去穴居人的洞穴併擊殺洞穴深處的精英怪,穴居人の洞窟に行って洞窟の奥にいるエリートモンスターを殺してしまう,??? ?? ?? ? ?? ???? ????
61006,Text,,通关一次鱼人副本并杀死鱼人副本的最终boss,Beat the final boss of the Fishman replica once,通關一次魚人副本併殺死魚人副本的最終boss,フィッシュマンレプリカを一度クリアして、フィッシュマンレプリカの最終ボスを殺す,?? ??? 1? ????? ?? ??? ?? ??? ????
61007,Text,,击杀占领传送门的boss昂哥立安-游荡者,Kill the boss angorian who captured the portal - Wanderer,擊殺佔領傳送門的boss昂哥立安-遊蕩者,トランスファーを占領したボスを撃殺オンゴリアン-ウロンジャー,???? ??? ?? ????-???? ????
61008,Text,,村落附近的丛林狼最近有些不听话，需要有人帮忙宰杀几只让他们安分安分,The coyotes around the village have been acting out lately and need help killing a few to keep them in peace,村落附近的叢林狼最近有些不聽話，需要有人幫忙宰殺幾只讓他們安分安分,"村の近くのジャングルのオオカミは最近少し言うことをきかないので,誰かが何匹か殺して彼らを安心させる必要がある",?? ??? ???? ??? ?? ?? ??? ??? ??? ?? ? ??? ???? ??? ????
61009,Text,,去找汉斯使用十个铜矿石来兑换一个盲盒吧,Go to Hans and trade ten copper ores for a blind box,去找漢斯使用十個銅礦石來兌換一個盲盒吧,ハンスがブラインドボックスと交換するために10個の銅鉱石を使いましょう,???? ?? ??? ? ? ??? ???? ?? ??? ???? ??
61010,Text,,村落附近的变异丛林狼最近总是毁坏庄稼，去给他们点颜色瞧瞧,The mutated coyotes around the village have been destroying crops lately. Go show them,村落附近的變異叢林狼最近總是毀壞莊稼，去給他們點顏色瞧瞧,"村の近くの突然変異したジャングルのオオカミは最近しょっちゅう作物を荒らげているので,彼らの世話をしに行く","?? ??? ?? ???? ??? ?? ???? ?????, ?? ???? ??? ?? (?)??"
61011,Text,,可恶的大黑熊！！！！,Hateful big black bear ！！！！,可惡的大黑熊！！！！,くそツキノワグマ！！！！,????? ? ??!!!!
61012,Text,,去穴居人的洞穴并击杀洞穴深处的精英怪,Go to the caveman's cave and kill the elite monsters in the depths of the cave,去穴居人的洞穴併擊殺洞穴深處的精英怪,穴居人の洞窟に行って洞窟の奥にいるエリートモンスターを殺してしまう,??? ?? ?? ? ?? ???? ????
61013,Text,,通关一次鱼人副本并杀死鱼人副本的最终boss,Beat the final boss of the Fishman replica once,通關一次魚人副本併殺死魚人副本的最終boss,フィッシュマンレプリカを一度クリアして、フィッシュマンレプリカの最終ボスを殺す,?? ??? 1? ????? ?? ??? ?? ??? ????
61014,Text,,击杀占领传送门的boss昂哥立安-游荡者,Kill the boss angorian who captured the portal - Wanderer,擊殺佔領傳送門的boss昂哥立安-遊蕩者,トランスファーを占領したボスを撃殺オンゴリアン-ウロンジャー,???? ??? ?? ????-???? ????
61015,Text,,村落附近的丛林狼最近有些不听话，需要有人帮忙宰杀几只让他们安分安分,The coyotes around the village have been acting out lately and need help killing a few to keep them in peace,村落附近的叢林狼最近有些不聽話，需要有人幫忙宰殺幾只讓他們安分安分,"村の近くのジャングルのオオカミは最近少し言うことをきかないので,誰かが何匹か殺して彼らを安心させる必要がある",?? ??? ???? ??? ?? ?? ??? ??? ??? ?? ? ??? ???? ??? ????
61016,Text,,去找汉斯使用十个铜矿石来兑换一个盲盒吧,Go to Hans and trade ten copper ores for a blind box,去找漢斯使用十個銅礦石來兌換一個盲盒吧,ハンスがブラインドボックスと交換するために10個の銅鉱石を使いましょう,???? ?? ??? ? ? ??? ???? ?? ??? ???? ??
61017,Text,,村落附近的变异丛林狼最近总是毁坏庄稼，去给他们点颜色瞧瞧,The mutated coyotes around the village have been destroying crops lately. Go show them,村落附近的變異叢林狼最近總是毀壞莊稼，去給他們點顏色瞧瞧,"村の近くの突然変異したジャングルのオオカミは最近しょっちゅう作物を荒らげているので,彼らの世話をしに行く","?? ??? ?? ???? ??? ?? ???? ?????, ?? ???? ??? ?? (?)??"
61018,Text,,可恶的大黑熊！！！！,Hateful big black bear ！！！！,可惡的大黑熊！！！！,くそツキノワグマ！！！！,????? ? ??!!!!
61019,Text,,去穴居人的洞穴并击杀洞穴深处的精英怪,Go to the caveman's cave and kill the elite monsters in the depths of the cave,去穴居人的洞穴併擊殺洞穴深處的精英怪,穴居人の洞窟に行って洞窟の奥にいるエリートモンスターを殺してしまう,??? ?? ?? ? ?? ???? ????
61020,Text,,通关一次鱼人副本并杀死鱼人副本的最终boss,Beat the final boss of the Fishman replica once,通關一次魚人副本併殺死魚人副本的最終boss,フィッシュマンレプリカを一度クリアして、フィッシュマンレプリカの最終ボスを殺す,?? ??? 1? ????? ?? ??? ?? ??? ????
61021,Text,,击杀占领传送门的boss昂哥立安-游荡者,Kill the boss angorian who captured the portal - Wanderer,擊殺佔領傳送門的boss昂哥立安-遊蕩者,トランスファーを占領したボスを撃殺オンゴリアン-ウロンジャー,???? ??? ?? ????-???? ????
61022,Text,,村落附近的丛林狼最近有些不听话，需要有人帮忙宰杀几只让他们安分安分,The coyotes around the village have been acting out lately and need help killing a few to keep them in peace,村落附近的叢林狼最近有些不聽話，需要有人幫忙宰殺幾只讓他們安分安分,"村の近くのジャングルのオオカミは最近少し言うことをきかないので,誰かが何匹か殺して彼らを安心させる必要がある",?? ??? ???? ??? ?? ?? ??? ??? ??? ?? ? ??? ???? ??? ????
61023,Text,,去找汉斯使用十个铜矿石来兑换一个盲盒吧,Go to Hans and trade ten copper ores for a blind box,去找漢斯使用十個銅礦石來兌換一個盲盒吧,ハンスがブラインドボックスと交換するために10個の銅鉱石を使いましょう,???? ?? ??? ? ? ??? ???? ?? ??? ???? ??
61024,Text,,村落附近的变异丛林狼最近总是毁坏庄稼，去给他们点颜色瞧瞧,The mutated coyotes around the village have been destroying crops lately. Go show them,村落附近的變異叢林狼最近總是毀壞莊稼，去給他們點顏色瞧瞧,"村の近くの突然変異したジャングルのオオカミは最近しょっちゅう作物を荒らげているので,彼らの世話をしに行く","?? ??? ?? ???? ??? ?? ???? ?????, ?? ???? ??? ?? (?)??"
61025,Text,,可恶的大黑熊！！！！,Hateful big black bear ！！！！,可惡的大黑熊！！！！,くそツキノワグマ！！！！,????? ? ??!!!!
61026,Text,,去穴居人的洞穴并击杀洞穴深处的精英怪,Go to the caveman's cave and kill the elite monsters in the depths of the cave,去穴居人的洞穴併擊殺洞穴深處的精英怪,穴居人の洞窟に行って洞窟の奥にいるエリートモンスターを殺してしまう,??? ?? ?? ? ?? ???? ????
61027,Text,,通关一次鱼人副本并杀死鱼人副本的最终boss,Beat the final boss of the Fishman replica once,通關一次魚人副本併殺死魚人副本的最終boss,フィッシュマンレプリカを一度クリアして、フィッシュマンレプリカの最終ボスを殺す,?? ??? 1? ????? ?? ??? ?? ??? ????
61028,Text,,击杀占领传送门的boss昂哥立安-游荡者,Kill the boss angorian who captured the portal - Wanderer,擊殺佔領傳送門的boss昂哥立安-遊蕩者,トランスファーを占領したボスを撃殺オンゴリアン-ウロンジャー,???? ??? ?? ????-???? ????
61029,Text,,去附近的挖矿点挖矿,Go to a nearby mining site and dig,去附近的挖礦點挖礦,近くの採掘場に掘りに行く,??? ???? ?? ??? ??
61030,Text,,总计杀死 30 只烈焰巫师,Kill a total of 30 Fire wizards,總計殺死 30 只烈焰巫師,合計30匹の炎の魔法使いを殺しました,? 30?? ????? ???
61031,Text,,总计杀死 30 只黑暗巫师,Kill 30 dark wizards in total,總計殺死 30 只黑暗巫師,合計30匹のダークウィッチを殺しました,? 30?? ???? ???
61032,Text,,总计杀死 30 只骷髅守卫,Kill 30 skeleton guards in total,總計殺死 30 只骷髏守衛,合計30匹のスカルガードを殺し,?? ??? 30?? ???
61033,Text,,总计杀死 30 只烈焰骷髅守卫,Kill 30 Flaming Skull guards in total,總計殺死 30 只烈焰骷髏守衛,合計30匹の炎の髑髏守備兵を殺しました,? 30 ??? ?? ???? ???
Die_txt001,Text,,你已死亡,You have to die,妳已死亡,あなたは死んだ,??? ?????.
Die_txt002,Text,,复活,The resurrection,復活,复活,??
Die_txt003,Text,,10秒后手动复活,"10 seconds later, manually restart",10秒後手動復活,10秒で手動復活,10? ? ???? ???
Equip_txt_001,Text,,稀有度:,Scarcity:,稀有度:,レア度:,???:
Equip_txt_002,Text,,攻击:,Attack:,攻擊:,攻撃:,??:
Equip_txt_003,Text,,防御:,Defense:,防禦:,防御:,?? ??:
Equip_txt_004,Text,,生命:,Life:,生命:,ライフ:,??:
Equip_txt_005,Text,,攻击速度:,Attack speed:,攻擊速度:,攻撃速度:,?? ??:
Equip_txt_006,Text,,暴击:,Crit:,暴擊:,暴撃:,???? ?????:
Equip_txt_007,Text,,暴击伤害:,Critical strike damage:,暴擊傷害:,バーストダメージ:,???? ???:
Install_apk,Text,,安装,The installation,安裝,インストール,??
Leave_Stuck_Enter,Text,,是否回到安全地点？,Return to safety?,是否回到安全地點？,安全な場所に戻っていますか?,??? ??? ??????
Race_txt_001,Text,,人类,human,人類,人間の,??
Race_txt_002,Text,,矮人,The dwarf,矮人,小人,? ??
Race_txt_003,Text,,精灵,The elves,精靈,精霊,??
Race_txt_004,Text,,兽人,The orcs,獸人,50人,?? ?? ??
TP_login,Text,,TP登录,TP login,TP登錄,TP登録,tp ???
Update_content_title,Text,,更新内容,Update the content,更新內容,内容を更新する,??? ????
attr,Text,,属性,attribute,屬性,属性,??
attr_txt_001,Text,,改名,The name,改名,改名,??
attr_txt_002,Text,,基础,basis,基礎,基礎,??
attr_txt_003,Text,,高级,senior,高級,高級,??
attr_txt_004,Text,,货币,currency,貨幣,通貨,??
attr_txt_005,Text,,信息,information,信息,情報,??
attr_txt_006,Text,,生命,life,生命,生命,??
attr_txt_007,Text,,法力,mana,法力,シュラトたち,???
attr_txt_008,Text,,经验,experience,經驗,経験,??
attr_txt_009,Text,,攻击,attack,攻擊,攻撃,??
attr_txt_010,Text,,速度,speed,速度,スピード,??
attr_txt_011,Text,,防御,defense,防禦,防衛,??
attr_txt_012,Text,,暴击伤害,Critical strike damage,暴擊傷害,ばくげき傷害,???? ???
attr_txt_013,Text,,暴击,crit,暴擊,暴の一撃,???
bag,Text,,包裹,pack,包裹,かばん,??
bag_all,Text,,全部,All,全部,すべて,??
bag_produce,Text,,生产,Production,生產,生産,??
bag_repair,Text,,修理,repair,修理,修理,??
bag_tool,Text,,道具,props,道具,道具,??
bag_txt_001,Text,,分解,break down,分解,分解,??
bag_txt_002,Text,,出售,Sell,出售,売却,??
bag_txt_003,Text,,整理,Tidy,整理,整理,??
bag_txt_004,Text,,强化,Strengthen,強化,強化,??
bag_txt_005,Text,,装备等级,LevelLimit,裝備等級,装備グレード,?? ??
bag_txt_006,Text,,种族限制,Racial Restrictions,種族限制,人種制限,??? ??
bag_txt_007,Text,,使用道具,Use props,使用道具,道具を使う,??? ????
bag_uninstall,Text,,卸除,uninstall,卸除,をとめて,?? ??? ?? ?
bag_use,Text,,使用,Use,使用,使用,??
bag_wp,Text,,装备,equipment,裝備,装備,??
boss_appears,Text,,boss出现,Boss there,boss出現,ボス出現,?? ??
cancel,Text,,取消,Cancel,取消,キャンセル,??
chang_account_title,Text,,是否切换账号？,Do you want to switch accounts?,是否切換賬號？,アカウントを切り替えますか?,????? ??????
chat,Text,,聊天,chat,聊天,チャット,??
chatXXX,Text,,颠三倒四：哪里能打副本？,Topsy-turvy: Where can I play a copy?,顛三倒四：哪裏能打副本？,どこがコピーを打つことができますか?,????:??? ???? ?? ? ????
chat_complex,Text,,私聊,The private chat,私聊,私の话,?? ???
chat_guild,Text,,公会,The guild,公會,労,??
chat_newbie,Text,,新手,A novice,新手,ルーキー,??
chat_royal,Text,,皇家,The royal,皇家,ロイヤル,??
chat_sys,Text,,系统,system,繫統,システム,???
chat_txt_001,Text,,滚屏,scrolling,滾屏,滚屏,GunBing
chat_txt_002,Text,,点击输入内容,Click enter,點擊輸入內容,入力内容をクリックする,??? ????? ?????
chat_txt_003,Text,,发送,send,發送,送信,???
chat_world,Text,,世界,The world,世界,世界,??
chest_goods_Desc,Text,,随机生成道具&装备,Randomly generate items & equipment,隨機生成道具&裝備,アイテム&装備をランダムに生成,??? ?? ??? & ??
com_txt_00,Text,,正在加载资源,loading resource,正在加載資源,リソースをロードしている,?? ???? ?
com_txt_01,Text,,登录,Login,登錄,ログイン,???
com_txt_02,Text,,登录界面,login interface,登錄界面,ログイン画面,??? ?????
com_txt_03,Text,,注册,Register,註冊,登録,??
com_txt_04,Text,,进入游戏,enter the game,進入遊戲,ゲームに入る,??? ????
confirm,Text,,确定,confirm,確定,確定,??
data_no_exit,Text,,数据不存在,Data does not exist,數據不存在,データが存在しない,???? ???? ??
dayily_task,Text,,日常任务,Daily tasks,日常任務,日常の任務。,???? ??
error,Text,,错误,error,錯誤,ミス,??
exitzones,Text,,退出副本,Exit,退出副本,脱退コピー,??? ???
fd_001,Text,,你们已经是好友了,you are already friends,妳們已經是好友了,君たちはもう親友だ,???? ?? ?? ????
fd_002,Text,,添加好友成功,Add friends successfully,添加好友成功,友だち追加成功,?? ??? ??????
fd_ApplyFirend_Success,Text,,申请成功,ApplyFirend Success,申請成功,申請に成功する,??? ????
fd_Click_Input,Text,,点击这里输入,Click here to enter,點擊這裏輸入,ここをクリックして入力する,????? ??? ?????
fd_Not_Finding_Role,Text,,没有找到该人物哦~,The character was not found~,沒有找到該人物哦~,その人物は見つかっていませんよ~,?? ??? ?? ? ????
fd_On_Line,Text,,在线,online,在線,オンライン,???
fd_On_offline,Text,,在线,offline,在線,オンライン,???
fd_allFriend,Text,,全部好友,all friends,全部好友,親友全員,?? ??
fd_edit,Text,,编辑,Edit,編輯,編集,??
fd_friend,Text,,好友,Friend,好友,親友,?? ??
fd_gChat,Text,,羣聊,group chat,羣聊,群の话,?? ??
fd_if_Delete,Text,,是否删除好友,Whether to delete friends,是否刪除好友,友だちを削除するかどうか,??? ???? ??
fd_mail,Text,,邮箱,Mail,郵箱,メール,?? ??
fd_recent,Text,,最近,recent,最近,最近,??
fd_role_name,Text,,角色名称,Role Name,角色名稱,役名,?? ??
fd_search_Type,Text,,搜索类型,SearchType,搜索類型,検索タイプ,?? ??
fd_search_result,Text,,搜索结果,search results,搜索結果,検索結果,?? ??
friend,Text,,添加好友,add friend,添加好友,友だちを追加する,?? ??
get,Text,,获得,get,獲得,得,?
goods_Compose,Text,,合成,synthetic,合成,合成,??
goods_Open,Text,,打开,Open the,打開,开き,??
goods_Use,Text,,使用,use,使用,使用,??
hangUp,Text,,挂机,HangUp,掛機,切り,?? ??
heading_to_destination,Text,,正在前往目的地...,En route to...,正在前往目的地...,目的地に向かっています…,???? ?? ?...
illegal_parameter,Text,,非法参数,Illegal parameter,非法參數,不正パラメーター,??? ??
input_error,Text,,账号或密码错误,The account or password is incorrect,賬號或密碼錯誤,アカウントやパスワードが間違っている,????? ????? ???????
login_failed,Text,,登录失败,Login failed,登錄失敗,ログインに失敗する,??? ??
main_task,Text,,主线任务,Main task,主線任務,メイン?ミッション,?? ??
map,Text,,地图,The map,地圖,地図,??
map_duskwood_0001,Text,,暮色森林,duskwood,暮色森林,暮色の森,??? ?? ?
map_duskwood_0002,Text,,xxxx,xxxx,xxxx,xxxx,xxxx
mining_Go,Text,,开始挖矿,Began to dig,開始挖礦,鉱を掘り始める,??? ????
mining_Stop,Text,,结束挖矿,The end of the dig,結束挖礦,採掘を終える,??? ???
mining_all_time,Text,,今日剩余挖矿时长：,Remaining mining time today:,今日剩余挖礦時長：,今日の残り採掘時間:,?? ?? ?? ??:
mining_get_time,Text,,距离下次收益时间：,Time to next return:,距離下次收益時間：,次の収益までの時間:,?? ?? ??:
networkerror,Text,,网络链接失败，请重新登录！,"Failed to connect to binance chain, please log in again!",與幣安鏈連接失敗，請重新登錄！,幣安チェーンとの接続に失敗したので、再ログインしてください!,?? ???? ??? ??????. ?? ???????!
no,Text,,拒绝,reject,拒絕,拒否,??
npc_title_blacksmith,Text,,铁匠,The blacksmith,鐵匠,スミス,????
npc_title_grocery_store,Text,,杂货铺,Grocery store,雜貨鋪,荒物屋,???
npc_title_mining,Text,,挖矿,dig,挖礦,掘り鉱,??? ?? ? ??
npc_title_village_head,Text,,村长,The village chief,村長,村長が,??
other_task,Text,,支线任务,Side quests,支線任務,支線任務。,??? ??
player,Text,,角色,Role,角色,役,??
set,Text,,系统设置,system settings,繫統設置,システム設定,??? ??
set_account,Text,,账号与角色,account,賬號與角色,アカウントとキャラクター,??? ???
set_account_0001,Text,,角色描述,role description  ,角色描述,キャラクター描写,?? ??
set_account_1001,Text,,隐私策略,Privacy Policy,隱私策略,プライバシーポリシー,????? ??
set_account_1002,Text,,切换角色,switch roles,切換角色,役を切り替える,?? ??
set_account_1003,Text,,切换账号,switch account,切換賬號,アカウントを切り替える,?? ??
set_account_1004,Text,,脱离卡死,get out of the jam,脫離卡死,脱?デッドロック,????
set_account_1005,Text,,用户协议,User Agreement,用戶協議,加入者契約,??? ??
set_account_1006,Text,,退出游戏,Exit,退出遊戲,ゲームをやめる,?? ???
set_account_2001,Text,,信息查询,Information query,信息查詢,情報の照会,?? ??
set_account_2002,Text,,隐私政策,Privacy Policy,隱私政策,プライバシーポリシー,???? ????
set_account_2003,Text,,查询用户协议,Query User Agreement,查詢用戶協議,契約書を照会する,??? ???? ??
set_account_2004,Text,,第三方信息共享清单,,第三方信息共享清單,第三者情報共有リスト,?3? ?? ?? ??
set_account_2005,Text,,账号注销,Account cancellation,賬號註銷,アカウントの解約,?? ??
set_btn_default,Text,,回复默认设置,Return to default Settings,回復默認設置,デフォルト設定に返信する,?? ??? ??
set_display,Text,,语音与好友,display,語音與好友,音声と親友,?? ? ??
set_fast,Text,,快捷,quick,快捷,ショートカット,??
set_language,Text,,语言,language,語言,言語,??
set_operate,Text,,操作与战斗,Operations and Combat,操作與戰鬥,オペレーションとバトル,?? & ??
set_push,Text,,推送与提示,Push and Prompt,推送與提示,プッシュとヒント,??? ?
set_slider_001,Text,,音乐音量,Music volume,音樂音量,音楽の音量,?? ??
set_slider_002,Text,,配音音量,The voice volume,配音音量,吹き替えの音量,??? ??
set_slider_003,Text,,音效音量,Sound volume,音效音量,音響音量。,??? ??
set_sound,Text,,语言与音效,Language,語言與音效,言葉と効果音,??? ??
set_sys,Text,,系统,system,繫統,システム,???
set_txt_001,Text,,震动,vibration,震動,振動,??
set_txt_002,Text,,普通话,mandarin,普通話,共通語,???
set_txt_003,Text,,配音语言,The voice language,配音語言,ダビング言語,?? ??
set_txt_004,Text,,下载粤语语言包,Download the Cantonese language pack,下載粵語語言包,広東語パッケージをダウンロード,??? ??? ????
set_txt_sound,Text,,声音,voice,聲音,声,??
skill,Text,,技能,skills,技能,技能,??
skill_txt_000,Text,,技能升级,Skills upgrading,技能升級,スキルアップ,?? ?????
skill_txt_001,Text,,技能方案,Skills to plan,技能方案,スキルプラン,?? ??
skill_txt_002,Text,,自动战斗设置,Automatic combat setting,自動戰鬥設置,自動戦闘装置,?? ?? ??
skill_txt_003,Text,,重置技能,reset,重置技能,リセットスキル,?? ???
skill_txt_004,Text,,自动攻击,Automated attacks,自動攻擊,自動攻撃,?? ??
skill_txt_005,Text,,技能详情,Skills for details,技能詳情,スキルの詳細,?? ??? ??
skill_txt_006,Text,,技能参数,Skill parameters,技能參數,スキルパラメーター,?? ????
skill_txt_007,Text,,此技能无法升级,This skill cannot be upgraded,此技能無法升級,このスキルはアップグレードできません,? ??? ?????? ? ????
skill_txt_008,Text,,武器列表,List of weapons,武器列錶,武器の一覧,?? ??
skill_txt_009,Text,,tips:仅点亮当前武器可使用的技能,Tips: Only activate skills that are available with the current weapon,tips:僅點亮當前武器可使用的技能,tips:現在の武器で使用可能なスキルのみ点灯,tips:?? ??? ??? ? ?? ??? ??
skill_txt_010,Text,,冷却时间：,Cooling time:,冷卻時間：,冷却時間:,???:
skill_txt_011,Text,,单次伤害：,Single damage:,單次傷害：,シングルダメージ:,?? ??:
skill_txt_012,Text,,已学会,Have learned to,已學會,学会になった,?? ????
skill_txt_013,Text,,已升级,Have to upgrade,已升級,グレードアップした,??????
skills_goods_Desc,Text,,学习或升级技能,Learn or upgrade skills,學習或升級技能,スキルの習得やアップグレード,??? ???? ???????
task,Text,,任务,Task ,任務,任務,??
task_finsh,Text,,已完成,Has been completed,已完成,完成した,??
task_follow_target,Text,,追踪目标,To track the target,追蹤目標,目標を追跡する,???? ????
task_receive,Text,,领取任务,Get the task,領取任務,任務を受け取る,??? ??
task_receive_reward,Text,,领取奖励,Get the rewards,領取獎勵,ご褒美をもらう,???? ??
task_reward,Text,,奖励：,Reward:,獎勵：,ご褒美:,??:
task_target,Text,,目标：,Goal:,目標：,目標:,??:
team,Text,,队伍,team,隊伍,チーム,??
team_001,Text,,离开,leave,離開,离れる,??
team_002,Text,,邀请,The invitation,邀請,招待する,??
team_003,Text,,申请,To apply for,申請,申請,??
team_004,Text,,邀请你加入队伍,You're invited to join the team,邀請妳加入隊伍,君をチームに招待する,??? ????? ?????
team_005,Text,,邀请列表,Invitation list,邀請列錶,招待リスト,??? ??
team_006,Text,,已邀请,Invited,已邀請,招待した,???
team_007,Text,,你已被请离出队伍,You have been asked to leave the team  ,妳已被請離出隊伍,あなたは列から外されました,??? ? ??? ???? ???????
team_008,Text,,该玩家已有队伍,This player already has a team,該玩家已有隊伍,そのプレイヤーはすでに,???? ?? ?? ??
team_009,Text,,请先退出队伍或者离开副本,Please exit the team or leave the instance first,請先退出隊伍或者離開副本,まず列を抜けるかコピーから離れてください,?? ??? ???? ??? ?? ???
team_010,Text,,创建队伍,Create team,創建隊伍,チームを作る,?? ???
tipInfoText_240,Text,,240s内击杀所有怪物,Kill all monsters within 240s,240s內擊殺所有怪物,240s内で全てのモンスターを撃殺,240s ?? ?? ???? ????
union,Text,,公会,The guild,公會,労,??
union_Create,Text,,创建公会,Create a guild,創建公會,ギルドを創設する,??? ????
union_President,Text,,会长,President of,會長,会長,??
union_add_friend,Text,,添加好友,Add buddy,添加好友,友だちを追加する,?? ??
union_announcement,Text,,公告,The announcement,公告,公告,??
union_apply,Text,,申请入会,Apply for membership,申請入會,入会を申し込む,??? ????
union_apply_limit,Text,,申请条件,The application requirements,申請條件,申請条件,?? ??
union_apply_state,Text,,申请入会成功,Application for membership was successful,申請入會成功,入会申し込みに成功する,?? ??? ????
union_auto_limit,Text,,自动同意公会申请,Automatically approve guild applications,自動同意公會申請,ギルドの申請に自動的に同意する,?? ??? ????? ????
union_condition,Text,,招募条件,Recruitment conditions,招募條件,募集条件,?? ??
union_consume,Text,,消耗：,Consumption:,消耗：,消費:,???:
union_count,Text,,人数,The number of,人數,数,??
union_date,Text,,日期,The date of,日期,日付,??
union_declartion,Text,,公会宣言：,Guild Declaration:,公會宣言：,ギルドの宣言:,????? ??? ??.
union_duplicate,Text,,公会副本,A copy of the conference,公會副本,ギルド謄本,?? ??
union_duty,Text,,职务,position,職務,職務,??
union_existing,Text,,已存在此公会名称,The guild name already exists,已存在此公會名稱,この会の名称はすでに存在する,? ??? ??? ?? ????
union_fall_short_of,Text,,未达到此公会的招募条件,Did not meet the recruitment requirements of this society,未達到此公會的招募條件,この公聴会の募集条件を満たしていない,? ??? ?? ??? ????
union_insignia,Text,,徽章图案,insignia,徽章圖案,バッジ柄,?? ??
union_invite_team,Text,,邀请组队,Group invite,邀請組隊,チームを作るよう招待する,?? ?
union_leave,Text,,离开公会,Leave the guild,離開公會,ギルドを去る,??? ???
union_leve_cap,Text,,等级上限,Level cap,等級上限,レベルの上限,?? ??
union_level,Text,,等级,level,等級,格付け,??
union_level_limit,Text,,等级要求：,Grade requirements:,等級要求：,レベルの要求:,?? ?? ??:
union_level_lower,Text,,等级下限,Level lower limit,等級下限,等級の下限,?? ???
union_limit,Text,,等级条件,Rating conditions,等級條件,等級条件。,?? ??
union_look_message,Text,,查看信息,Check the information,查看信息,情報を見る,?? ??
